tag,positives,roc_auc,average_precision
piano,46,0.9277632981874185,0.7853370038181242
rock,46,0.945977964696126,0.7169306668112096
harpsichord,13,0.989326923076923,0.6878405154423254
choral,7,0.992258972554539,0.5572278911564625
techno,47,0.8861760260434832,0.5333834834458937
metal,11,0.9773857982813207,0.515002103159998
classical,54,0.8792169606932838,0.4826384058238874
choir,7,0.9788881069669246,0.46394557823129245
violin,18,0.8933192686357243,0.4410450049792879
flute,12,0.9267456359102244,0.39582264499060166
electro,8,0.9561728395061729,0.3761628996003996
slow,67,0.7342765939090673,0.373303810120116
dance,9,0.9470572057205721,0.34037380544519624
guitar,64,0.7281518624641834,0.3372233537128578
string,31,0.8152339131903394,0.33555161422197965
drum,41,0.8210070810385524,0.2968466464286602
opera,21,0.9135082604470359,0.2926563146010223
male vocal,22,0.8975819576842596,0.2843064131749084
ambient,34,0.8325702312587304,0.2842654263506706
singing,24,0.8645565552699229,0.28417451579416153
beat,21,0.8740281827016521,0.2839377241593741
fast,39,0.752262443438914,0.28329483495152685
male,18,0.8843881856540085,0.28214154510316514
man,14,0.8884711779448622,0.27650744766539126
vocal,40,0.8207104557640751,0.2762006924348505
electronic,39,0.7697106814753873,0.2610749858741183
quiet,21,0.8924927113702623,0.24544369540969863
loud,22,0.831260172053011,0.23760592235668104
solo,16,0.9339578085642317,0.23431159501215176
female,29,0.8150143678160919,0.23078940843174792
soft,19,0.8020304568527918,0.1844489499625547
pop,15,0.8777219430485762,0.17062474970249858
woman,25,0.7974742268041237,0.16758258961776212
female vocal,18,0.8233473980309423,0.1412719657151455
indian,13,0.7822115384615385,0.13686993025580582
jazz,5,0.9063725490196078,0.1322675736961451
male voice,10,0.8227047146401986,0.12634460457550742
harp,8,0.8564814814814814,0.11874076657809532
classic,12,0.7743142144638404,0.11528063935018762
synth,25,0.6735567010309278,0.1131524845808286
voice,9,0.7830033003300331,0.10559053178631783
violins,3,0.9524390243902439,0.08964512190318641
no vocal,21,0.6784499514091351,0.07710205930981139
country,3,0.9406504065040651,0.07516339869281045
female voice,9,0.779015401540154,0.058095361341762145
new age,9,0.6493399339933993,0.056411188401930934
sitar,3,0.8597560975609756,0.04663669663669664
weird,10,0.6727047146401985,0.04315524326227408
cello,1,0.933252427184466,0.034482758620689655
no voice,5,0.6674019607843138,0.025900241303921764
